PLOT_ID,CV_B2,RAO_B2,CV_B3,RAO_B3,CV_B4,RAO_B4,CV_B5,RAO_B5,CV_B6,RAO_B6,CV_B7,RAO_B7,CV_B8,RAO_B8,CV_B8A,RAO_B8A,CV_B11,RAO_B11,CV_B12,RAO_B12,SHANNON
1,0.160117,0.003489,0.150862,0.005080,0.123695,0.003679,0.105911,0.005715,0.053592,0.015965,0.081366,0.014631,0.137773,0.032558,0.065964,0.008367,0.074489,0.001920,0.138773,0.010082,0.398374
2,0.259086,0.005278,0.170570,0.006391,0.242139,0.006411,0.100323,0.009836,0.093840,0.015554,0.089301,0.030470,0.155243,0.021692,0.118524,0.020630,0.111788,0.010134,0.105749,0.004047,0.592813
3,0.374416,0.005757,0.204483,0.008218,0.268714,0.005979,0.124544,0.010349,0.090368,0.025274,0.099305,0.027079,0.146755,0.040115,0.103765,0.032413,0.106260,0.015557,0.070071,0.006483,0.808190
4,0.332032,0.005732,0.198163,0.006877,0.273407,0.005350,0.122713,0.006468,0.108125,0.018640,0.095869,0.027683,0.129496,0.039215,0.086011,0.029673,0.088913,0.015783,0.119004,0.007561,0.720220
5,0.264281,0.003307,0.159146,0.006838,0.203411,0.004424,0.077187,0.006341,0.085814,0.016856,0.090946,0.020913,0.134568,0.035043,0.065741,0.020761,0.116038,0.013693,0.134614,0.006602,0.528581
6,0.303522,0.004680,0.299413,0.007232,0.287076,0.008494,0.123580,0.010950,0.141371,0.013042,0.102817,0.028466,0.178672,0.042561,0.106781,0.027518,0.094613,0.012057,0.142728,0.009166,0.793305
7,0.257766,0.003567,0.177680,0.005074,0.220206,0.007827,0.098113,0.005907,0.096786,0.023871,0.083600,0.020221,0.115024,0.038149,0.095917,0.014301,0.092234,0.013729,0.093148,0.009230,0.543846
8,0.089906,0.001752,0.041277,0.003032,0.090484,0.003955,0.024138,0.001903,0.006533,0.000652,0.013260,0.007195,0.039432,0.019876,0.010614,0.015816,0.082051,0.006959,0.056836,0.003841,0.112334
9,0.324639,0.005010,0.237053,0.010442,0.213583,0.007840,0.099349,0.009322,0.136511,0.012651,0.106788,0.026856,0.162181,0.045465,0.138351,0.015882,0.101321,0.010837,0.109621,0.007202,0.718001
10,0.217624,0.004317,0.130499,0.006037,0.183665,0.004883,0.067938,0.002989,0.102780,0.018641,0.057535,0.012275,0.091531,0.030241,0.035404,0.010952,0.081620,0.007295,0.068468,0.008875,0.421819
11,0.115776,0.002754,0.092411,0.004171,0.173188,0.004405,0.053496,0.001410,0.004080,0.003148,0.052155,0.005978,0.077395,0.013573,0.042370,0.003338,0.039788,0.011642,0.060604,0.004068,0.216884
12,0.211569,0.004157,0.146328,0.007245,0.232760,0.007276,0.101101,0.006250,0.085692,0.016909,0.058484,0.014140,0.129357,0.028448,0.073806,0.018602,0.082399,0.010677,0.117314,0.002539,0.469082
13,0.330034,0.005017,0.222134,0.008806,0.275908,0.008282,0.131586,0.010141,0.075882,0.021807,0.096518,0.031462,0.124837,0.027661,0.123720,0.020359,0.126078,0.012716,0.099055,0.011733,0.717899
14,0.171051,0.003197,0.154577,0.006435,0.191510,0.003690,0.104577,0.004632,0.076727,0.007170,0.072829,0.012482,0.109682,0.014594,0.080405,0.018351,0.101970,0.011668,0.122832,0.007508,0.406450
15,0.119110,0.003810,0.135191,0.006799,0.152499,0.004895,0.053976,0.002109,0.049390,0.017592,0.032188,0.009964,0.047415,0.022724,0.048186,0.020913,0.091799,0.008041,0.095967,0.001560,0.299326
16,0.144471,0.002651,0.155639,0.005640,0.176020,0.003710,0.058009,0.003240,0.048709,0.000652,0.071699,0.011874,0.122762,0.018195,0.010614,0.003561,0.067779,0.008416,0.083932,0.005201,0.273354
17,0.057632,0.002172,0.102332,0.003791,0.144383,0.002476,0.038827,0.002483,0.011028,0.006940,0.062339,0.003372,0.087586,0.006130,0.036327,0.014892,0.086359,0.010205,0.060431,0.005435,0.247138
18,0.070473,0.002569,0.095534,0.004285,0.171635,0.001996,0.022494,0.003504,0.026652,0.008775,0.013690,0.004655,0.089799,0.006130,0.010614,0.004287,0.072810,0.010922,0.130758,0.006168,0.171939
19,0.366798,0.006901,0.289715,0.010572,0.331732,0.009526,0.170236,0.010676,0.136545,0.029775,0.126098,0.021618,0.153070,0.049553,0.172942,0.031221,0.098857,0.012988,0.114979,0.009251,0.893483
20,0.338978,0.005819,0.259697,0.009153,0.291099,0.008159,0.120866,0.008704,0.112560,0.020225,0.141339,0.032490,0.162018,0.041671,0.132182,0.022607,0.120950,0.018159,0.116365,0.006541,0.847980
21,0.131945,0.003440,0.172634,0.005067,0.128702,0.003582,0.035408,0.001563,0.063478,0.003769,0.052560,0.017246,0.107965,0.025112,0.037849,0.006439,0.079429,0.003872,0.099061,0.004670,0.338565
22,0.326163,0.005256,0.253265,0.009174,0.308412,0.008580,0.122594,0.009546,0.140943,0.017542,0.128537,0.028835,0.152739,0.037999,0.133301,0.033821,0.114326,0.017401,0.134692,0.007442,0.831116
23,0.164909,0.002681,0.130871,0.003248,0.107337,0.004420,0.024370,0.003888,0.027788,0.002728,0.032303,0.006727,0.082073,0.017181,0.054733,0.008526,0.038310,0.006646,0.080869,0.003700,0.282582
24,0.323103,0.005209,0.224200,0.007766,0.268388,0.006666,0.095567,0.006607,0.110751,0.020937,0.104853,0.022707,0.131586,0.036686,0.086140,0.031141,0.090888,0.012390,0.136204,0.011015,0.697421
25,0.176339,0.005235,0.179016,0.006831,0.205929,0.004040,0.083334,0.004420,0.061711,0.010383,0.068630,0.019798,0.112084,0.028567,0.055139,0.024080,0.076053,0.013207,0.088481,0.009338,0.441956
26,0.211420,0.005082,0.145635,0.006593,0.180759,0.005985,0.117931,0.007027,0.092203,0.008786,0.085887,0.020042,0.115519,0.026689,0.129389,0.029911,0.089933,0.009356,0.082823,0.009501,0.593870
27,0.270943,0.003146,0.249626,0.007468,0.220739,0.007758,0.095346,0.006209,0.089432,0.001654,0.094495,0.024667,0.135340,0.034940,0.107312,0.020622,0.092633,0.013416,0.138271,0.007860,0.629630
28,0.471338,0.005756,0.262242,0.010100,0.304712,0.009769,0.103888,0.010214,0.126559,0.028665,0.156284,0.035289,0.204656,0.046912,0.186023,0.026665,0.109673,0.019155,0.147414,0.011803,0.955352
29,0.218358,0.005691,0.217440,0.007527,0.235157,0.006642,0.116677,0.004955,0.151913,0.016451,0.090058,0.019840,0.158900,0.040145,0.078088,0.018076,0.076800,0.011033,0.116693,0.008282,0.674032
30,0.081012,0.002196,0.095055,0.005835,0.125341,0.002635,0.046488,0.002786,0.064490,0.009195,0.038194,0.010190,0.050700,0.019680,0.010614,0.005872,0.086403,0.008386,0.052028,0.004279,0.154721
